batch, input_dim, output_dim, total_forward_time(ms), mean_forward_time(ms)
64,512,1024,2793.94775390625,0.279394775390625
64,512,2048,2710.40185546875,0.271040185546875
64,1024,64,2696.273681640625,0.2696273681640625
64,1024,128,2738.875732421875,0.2738875732421875
64,1024,256,2697.89208984375,0.269789208984375
64,1024,512,2701.55908203125,0.270155908203125
64,1024,1024,2686.285400390625,0.2686285400390625
64,1024,2048,2785.146484375,0.2785146484375
64,2048,64,2779.7373046875,0.27797373046875
64,2048,128,2739.63623046875,0.273963623046875
64,2048,256,2671.916259765625,0.2671916259765625
64,2048,512,2734.45654296875,0.273445654296875
64,2048,1024,2764.84423828125,0.276484423828125
64,2048,2048,3130.304931640625,0.3130304931640625
128,64,64,2742.88134765625,0.274288134765625
128,64,128,2714.48779296875,0.271448779296875
128,64,256,2711.71923828125,0.271171923828125
128,64,512,2647.245361328125,0.2647245361328125
128,64,1024,2742.142578125,0.2742142578125
128,64,2048,2678.358154296875,0.2678358154296875
128,128,64,2717.81005859375,0.271781005859375
128,128,128,2745.1982421875,0.27451982421875
128,128,256,2787.575439453125,0.2787575439453125
128,128,512,2733.861328125,0.2733861328125
128,128,1024,2702.450439453125,0.2702450439453125
128,128,2048,2716.025146484375,0.2716025146484375
128,256,64,2716.270263671875,0.2716270263671875
128,256,128,2728.998046875,0.2728998046875
128,256,256,2712.109130859375,0.2712109130859375
128,256,512,2720.801513671875,0.2720801513671875
128,256,1024,2742.2294921875,0.27422294921875
128,256,2048,2756.9990234375,0.27569990234375
128,512,64,2734.00830078125,0.273400830078125
128,512,128,2748.97802734375,0.274897802734375
128,512,256,2753.72412109375,0.275372412109375
128,512,512,2791.5166015625,0.27915166015625
128,512,1024,2780.249755859375,0.2780249755859375
128,512,2048,2733.172119140625,0.2733172119140625
128,1024,64,2702.673828125,0.2702673828125
128,1024,128,2720.183837890625,0.2720183837890625
128,1024,256,2726.196533203125,0.2726196533203125
128,1024,512,2726.61083984375,0.272661083984375
128,1024,1024,2718.71044921875,0.271871044921875
128,1024,2048,2702.17333984375,0.270217333984375
128,2048,64,2749.02197265625,0.274902197265625
128,2048,128,2711.591064453125,0.2711591064453125
128,2048,256,2700.883056640625,0.2700883056640625
128,2048,512,2696.356201171875,0.2696356201171875
128,2048,1024,2744.248779296875,0.2744248779296875
128,2048,2048,3602.428466796875,0.3602428466796875
256,64,64,2718.009521484375,0.2718009521484375
256,64,128,2746.720703125,0.2746720703125
256,64,256,2713.82470703125,0.271382470703125
256,64,512,2720.1357421875,0.27201357421875
256,64,1024,2715.02587890625,0.271502587890625
256,64,2048,2776.19677734375,0.277619677734375
256,128,64,2704.350341796875,0.2704350341796875
256,128,128,2740.277587890625,0.2740277587890625
256,128,256,2721.623291015625,0.2721623291015625
256,128,512,2714.19189453125,0.271419189453125
256,128,1024,2750.57275390625,0.275057275390625
256,128,2048,2780.141357421875,0.2780141357421875
256,256,64,2730.897705078125,0.2730897705078125
256,256,128,2743.047119140625,0.2743047119140625
256,256,256,2715.803955078125,0.2715803955078125
256,256,512,2746.69384765625,0.274669384765625
256,256,1024,2721.696533203125,0.2721696533203125
256,256,2048,2756.35595703125,0.275635595703125
256,512,64,2720.879150390625,0.2720879150390625
256,512,128,2716.460205078125,0.2716460205078125
256,512,256,2748.33251953125,0.274833251953125
256,512,512,2723.672119140625,0.2723672119140625
256,512,1024,2725.2939453125,0.27252939453125
256,512,2048,2738.893798828125,0.2738893798828125
256,1024,64,2724.61962890625,0.272461962890625
256,1024,128,2757.208984375,0.2757208984375
256,1024,256,2776.434814453125,0.2776434814453125
256,1024,512,2748.658935546875,0.2748658935546875
256,1024,1024,2761.29443359375,0.276129443359375
256,1024,2048,2740.8544921875,0.27408544921875
